no,Package,Item,Title,Rows,Cols,csv,doc,lcitems,csv_name,doc_name
0,datasets,AirPassengers,Monthly Airline Passenger Numbers 1949-1960,144,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/AirPassengers.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/AirPassengers.html,air_passengers,AirPassengers.csv,AirPassengers.html
1,datasets,BJsales,Sales Data with Leading Indicator,150,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/BJsales.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/BJsales.html,bj_sales,BJsales.csv,BJsales.html
2,datasets,BOD,Biochemical Oxygen Demand,6,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/BOD.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/BOD.html,bod,BOD.csv,BOD.html
3,datasets,CO2,Carbon Dioxide Uptake in Grass Plants,237,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/CO2.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/CO2.html,co2,CO2.csv,CO2.html
4,datasets,Formaldehyde,Determination of Formaldehyde,6,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/Formaldehyde.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/Formaldehyde.html,formaldehyde,Formaldehyde.csv,Formaldehyde.html
5,datasets,HairEyeColor,Hair and Eye Color of Statistics Students,32,4,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/HairEyeColor.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/HairEyeColor.html,hair_eye_color,HairEyeColor.csv,HairEyeColor.html
6,datasets,InsectSprays,Effectiveness of Insect Sprays,72,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/InsectSprays.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/InsectSprays.html,insect_sprays,InsectSprays.csv,InsectSprays.html
7,datasets,JohnsonJohnson,Quarterly Earnings per Johnson & Johnson Share,84,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/JohnsonJohnson.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/JohnsonJohnson.html,johnson_johnson,JohnsonJohnson.csv,JohnsonJohnson.html
8,datasets,LakeHuron,Level of Lake Huron 1875-1972,98,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/LakeHuron.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/LakeHuron.html,lake_huron,LakeHuron.csv,LakeHuron.html
9,datasets,LifeCycleSavings,Intercountry Life-Cycle Savings Data,50,5,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/LifeCycleSavings.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/LifeCycleSavings.html,life_cycle_savings,LifeCycleSavings.csv,LifeCycleSavings.html
10,datasets,Nile,Flow of the River Nile,100,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/Nile.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/Nile.html,nile,Nile.csv,Nile.html
11,datasets,OrchardSprays,Potency of Orchard Sprays,64,4,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/OrchardSprays.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/OrchardSprays.html,orchard_sprays,OrchardSprays.csv,OrchardSprays.html
12,datasets,PlantGrowth,Results from an Experiment on Plant Growth,30,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/PlantGrowth.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/PlantGrowth.html,plant_growth,PlantGrowth.csv,PlantGrowth.html
13,datasets,Puromycin,Reaction Velocity of an Enzymatic Reaction,23,3,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/Puromycin.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/Puromycin.html,puromycin,Puromycin.csv,Puromycin.html
14,datasets,Titanic,Survival of passengers on the Titanic,1313,6,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/Titanic.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/Titanic.html,titanic,Titanic.csv,Titanic.html
15,datasets,ToothGrowth,The Effect of Vitamin C on Tooth Growth in Guinea Pigs,60,3,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/ToothGrowth.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/ToothGrowth.html,tooth_growth,ToothGrowth.csv,ToothGrowth.html
16,datasets,UCBAdmissions,Student Admissions at UC Berkeley,24,4,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/UCBAdmissions.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/UCBAdmissions.html,ucb_admissions,UCBAdmissions.csv,UCBAdmissions.html
17,datasets,UKDriverDeaths,Road Casualties in Great Britain 1969-84,192,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/UKDriverDeaths.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/UKDriverDeaths.html,uk_driver_deaths,UKDriverDeaths.csv,UKDriverDeaths.html
18,datasets,UKgas,UK Quarterly Gas Consumption,108,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/UKgas.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/UKgas.html,uk_gas,UKgas.csv,UKgas.html
19,datasets,USAccDeaths,Accidental Deaths in the US 1973-1978,72,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/USAccDeaths.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/USAccDeaths.html,us_acc_deaths,USAccDeaths.csv,USAccDeaths.html
20,datasets,USArrests,Violent Crime Rates by US State,50,4,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/USArrests.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/USArrests.html,us_arrests,USArrests.csv,USArrests.html
21,datasets,USJudgeRatings,Lawyers' Ratings of State Judges in the US Superior Court,43,12,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/USJudgeRatings.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/USJudgeRatings.html,us_judge_ratings,USJudgeRatings.csv,USJudgeRatings.html
22,datasets,USPersonalExpenditure,Personal Expenditure Data,5,5,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/USPersonalExpenditure.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/USPersonalExpenditure.html,us_personal_expenditure,USPersonalExpenditure.csv,USPersonalExpenditure.html
23,datasets,VADeaths,Death Rates in Virginia (1940),5,4,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/VADeaths.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/VADeaths.html,va_deaths,VADeaths.csv,VADeaths.html
24,datasets,WWWusage,Internet Usage per Minute,100,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/WWWusage.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/WWWusage.html,www_usage,WWWusage.csv,WWWusage.html
25,datasets,WorldPhones,The World's Telephones,7,7,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/WorldPhones.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/WorldPhones.html,world_phones,WorldPhones.csv,WorldPhones.html
26,datasets,airmiles,"Passenger Miles on Commercial US Airlines, 1937-1960",24,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/airmiles.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/airmiles.html,airmiles,airmiles.csv,airmiles.html
27,datasets,airquality,New York Air Quality Measurements,153,6,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/airquality.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/airquality.html,airquality,airquality.csv,airquality.html
28,datasets,anscombe,Anscombe's Quartet of 'Identical' Simple Linear Regressions,11,8,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/anscombe.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/anscombe.html,anscombe,anscombe.csv,anscombe.html
29,datasets,attenu,The Joyner-Boore Attenuation Data,182,5,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/attenu.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/attenu.html,attenu,attenu.csv,attenu.html
30,datasets,attitude,The Chatterjee-Price Attitude Data,30,7,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/attitude.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/attitude.html,attitude,attitude.csv,attitude.html
31,datasets,austres,Quarterly Time Series of the Number of Australian Residents,89,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/austres.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/austres.html,austres,austres.csv,austres.html
32,datasets,cars,Speed and Stopping Distances of Cars,50,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/cars.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/cars.html,cars,cars.csv,cars.html
33,datasets,chickwts,Chicken Weights by Feed Type,71,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/chickwts.csv,https://raw.github.com/vincentarelbundock/Rdatasets/master/doc/datasets/chickwts.html,chickwts,chickwts.csv,chickwts.html
