no,package,item,title,rows,cols,remote_base_url,remote_file_name,function_name,local_file_name,rst_files
0,datasets,AirPassengers,Monthly Airline Passenger Numbers 1949-1960,144,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,AirPassengers.csv,air_passengers,air_passengers.csv,doc/datasets/rst/AirPassengers.rst
1,datasets,BJsales,Sales Data with Leading Indicator,150,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,BJsales.csv,bj_sales,bj_sales.csv,doc/datasets/rst/BJsales.rst
2,datasets,BOD,Biochemical Oxygen Demand,6,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,BOD.csv,bod,bod.csv,doc/datasets/rst/BOD.rst
3,datasets,CO2,Carbon Dioxide Uptake in Grass Plants,237,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,CO2.csv,co2,co2.csv,doc/datasets/rst/co2.rst
4,datasets,Formaldehyde,Determination of Formaldehyde,6,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,Formaldehyde.csv,formaldehyde,formaldehyde.csv,doc/datasets/rst/Formaldehyde.rst
5,datasets,HairEyeColor,Hair and Eye Color of Statistics Students,32,4,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,HairEyeColor.csv,hair_eye_color,hair_eye_color.csv,doc/datasets/rst/HairEyeColor.rst
6,datasets,InsectSprays,Effectiveness of Insect Sprays,72,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,InsectSprays.csv,insect_sprays,insect_sprays.csv,doc/datasets/rst/InsectSprays.rst
7,datasets,JohnsonJohnson,Quarterly Earnings per Johnson & Johnson Share,84,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,JohnsonJohnson.csv,johnson_johnson,johnson_johnson.csv,doc/datasets/rst/JohnsonJohnson.rst
8,datasets,LakeHuron,Level of Lake Huron 1875-1972,98,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,LakeHuron.csv,lake_huron,lake_huron.csv,doc/datasets/rst/LakeHuron.rst
9,datasets,LifeCycleSavings,Intercountry Life-Cycle Savings Data,50,5,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,LifeCycleSavings.csv,life_cycle_savings,life_cycle_savings.csv,doc/datasets/rst/LifeCycleSavings.rst
10,datasets,Nile,Flow of the River Nile,100,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,Nile.csv,nile,nile.csv,doc/datasets/rst/Nile.rst
11,datasets,OrchardSprays,Potency of Orchard Sprays,64,4,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,OrchardSprays.csv,orchard_sprays,orchard_sprays.csv,doc/datasets/rst/OrchardSprays.rst
12,datasets,PlantGrowth,Results from an Experiment on Plant Growth,30,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,PlantGrowth.csv,plant_growth,plant_growth.csv,doc/datasets/rst/PlantGrowth.rst
13,datasets,Puromycin,Reaction Velocity of an Enzymatic Reaction,23,3,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,Puromycin.csv,puromycin,puromycin.csv,doc/datasets/rst/Puromycin.rst
14,datasets,Titanic,Survival of passengers on the Titanic,1313,6,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,Titanic.csv,titanic,titanic.csv,doc/datasets/rst/Titanic.rst
15,datasets,ToothGrowth,The Effect of Vitamin C on Tooth Growth in Guinea Pigs,60,3,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,ToothGrowth.csv,tooth_growth,tooth_growth.csv,doc/datasets/rst/ToothGrowth.rst
16,datasets,UCBAdmissions,Student Admissions at UC Berkeley,24,4,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,UCBAdmissions.csv,ucb_admissions,ucb_admissions.csv,doc/datasets/rst/UCBAdmissions.rst
17,datasets,UKDriverDeaths,Road Casualties in Great Britain 1969-84,192,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,UKDriverDeaths.csv,uk_driver_deaths,uk_driver_deaths.csv,doc/datasets/rst/UKDriverDeaths.rst
18,datasets,UKgas,UK Quarterly Gas Consumption,108,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,UKgas.csv,uk_gas,uk_gas.csv,doc/datasets/rst/UKgas.rst
19,datasets,USAccDeaths,Accidental Deaths in the US 1973-1978,72,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,USAccDeaths.csv,us_acc_deaths,us_acc_deaths.csv,doc/datasets/rst/USAccDeaths.rst
20,datasets,USArrests,Violent Crime Rates by US State,50,4,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,USArrests.csv,us_arrests,us_arrests.csv,doc/datasets/rst/USArrests.rst
21,datasets,USJudgeRatings,Lawyers' Ratings of State Judges in the US Superior Court,43,12,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,USJudgeRatings.csv,us_judge_ratings,us_judge_ratings.csv,doc/datasets/rst/USJudgeRatings.rst
22,datasets,USPersonalExpenditure,Personal Expenditure Data,5,5,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,USPersonalExpenditure.csv,us_personal_expend,us_personal_expend.csv,doc/datasets/rst/USPersonalExpenditure.rst
23,datasets,VADeaths,Death Rates in Virginia (1940),5,4,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,VADeaths.csv,va_deaths,va_deaths.csv,doc/datasets/rst/VADeaths.rst
24,datasets,WWWusage,Internet Usage per Minute,100,2,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,WWWusage.csv,www_usage,www_usage.csv,doc/datasets/rst/WWWusage.rst
25,datasets,WorldPhones,The World's Telephones,7,7,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/datasets/,WorldPhones.csv,world_phones,world_phones.csv,doc/datasets/rst/WorldPhones.rst
